序号,项目编号,项目名称,实施方式,时间计划,投入估算（万元）,相关业务板块,项目启动条件,项目收益,涉及AI技术,模型选择,数据需求与来源,可行性分析,目标用户,落地路径,相关案例
53,,精准营销智能系统,合作开发,2026Q3-2027Q3,11,零售,会员画像系统上线，营销活动数据历史积累，效果评估体系建立,基于会员画像实现精准营销，提高营销效果和投入产出比，营销ROI提升50%,机器学习、精准营销、A/B测试,大模型,会员画像数据、营销活动数据、效果数据,可行性高：基于现有会员系统,零售业务部门,1.用户分群：基于会员画像进行用户分群和需求分析；2.策略制定：设计差异化营销策略和内容方案；3.渠道整合：打通线上线下营销渠道；4.系统开发：构建精准营销管理平台和效果评估系统；5.闭环优化：建立营销-反馈-优化的闭环管理机制,"企业名称：企业33
应用技术：行业数据库整合、短信/彩信/传真群发、AI算法分析目标客户群体
投资金额：未公开
目标：打通药企到终端的信息壁垒，提升招商与品牌推广效率。
降本/增效/提质：整合4000+制药企业、8000+医药商业公司数据，实现跨区域精准招商，加速产品流通。
来源网址：[已脱敏链接]"
54,,电商智能推荐系统,合作开发,2027Q1-2028Q1,11,零售,电商平台数据整合，用户行为数据采集，推荐算法开发,为电商用户提供个性化商品推荐，提高转化率和客单价，电商销售额提升60%,协同过滤、深度学习、推荐系统,小模型,用户浏览数据、购买数据、商品数据,可行性高：推荐算法相对成熟,零售业务部门,1.数据收集：收集用户浏览记录、购买历史、商品属性等数据；2.算法开发：构建协同过滤、深度学习等推荐算法；3.系统实现：开发智能推荐引擎和前端展示界面；4.灰度测试：进行A/B测试优化推荐效果；5.个性化服务：实现千人千面的个性化推荐服务,"企业名称：企业34（服务某医药国企）
应用技术：机器学习算法、用户行为分析、场景化推荐模型
投资金额：未公开
目标：提升电商平台用户转化率，优化供需匹配。
降本/增效/提质：订单处理效率提高30%，库存积压率降低20%；个性化推荐使相关商品销量提升20%以上。
来源网址：[已脱敏链接]

企业名称：企业35
应用技术：京医千询医疗大模型、用户行为分析、三维一体知识库
目标：提升用户转化率，优化供需匹配。
降本/增效/提质：“AI营养师”覆盖200多个保健类目，累计服务超1000万家庭，用户转化率达45%以上；针对母婴场景，可提供分阶段科学喂养方案及一站式商品推荐。
来源网址：[已脱敏链接]
[已脱敏链接]"
55,,智能客服（零售）,合作开发,2026Q2-2026Q4,11,零售,客户服务知识库建设，对话系统开发，多渠道接入,提供24小时在线客户服务，处理常见问题，客户服务效率提升70%,对话系统、NLP、意图识别,大模型,客户服务知识库、历史对话数据,可行性高：客服机器人技术成熟,零售业务部门、客户服务部,1.知识库构建：建立药品知识、促销信息、常见问题等知识库；2.NLP模型训练：开发医药领域专用的自然语言处理模型；3.系统开发：构建智能客服平台和多渠道接入系统；4.人机协作：设计人工坐席与AI协同工作机制；5.持续优化：基于用户反馈不断提升服务质量,"企业名称：企业35
应用技术：京医千询医疗大模型、RAG（检索增强生成）、多模态交互
目标：提升客服响应效率，缓解药师压力。
降本/增效/提质：AI客服可承载高并发咨询，支持7×24小时服务；结合数字人技术，提供情感化陪伴式咨询，显著提升用户体验。
来源网址：[已脱敏链接]
[已脱敏链接]"
56,,店铺运营智能分析,合作开发,2026Q4-2027Q1,8,零售,店铺运营数据整合，分析指标体系建立，数据可视化平台,深度分析店铺运营数据，提供优化建议，店铺盈利能力提升20%,数据分析、BI分析、机器学习,大模型+小模型,店铺销售数据、成本数据、客流数据,可行性高：店铺数据相对完整,零售业务部门,1.数据采集：整合销售数据、库存数据、客流量数据、营销数据等；2.指标体系构建：建立店铺运营关键指标体系；3.分析模型开发：构建销售预测、库存优化、人员配置等分析模型；4.可视化平台：开发店铺运营分析仪表板；5.决策支持：为店长提供数据驱动的决策建议,"企业名称：企业36（沪渝人工智能研究院）
应用技术：兆言大模型、基层医疗数据整合、智能补货算法
投资金额：未公开
目标：优化基层药房运营，提升药品周转效率与服务能力。
降本/增效/提质：药品周转率提升40%，库存周期缩短30%，过期损耗率降低25%；已在2000多家药房落地应用。
来源网址：[已脱敏链接]"
57,,商品陈列智能优化,合作开发,2028Q1-2028Q3,8,零售,商品销售数据完整，客户行为数据采集，陈列优化算法开发,智能优化商品陈列布局，提高销售转化率和客户体验,机器学习、优化算法、数据分析,小模型,商品销售数据、客户行为数据、陈列数据,可行性中：需要客户行为数据采集,零售业务部门,1.数据收集：收集商品特性、销售数据、顾客行为、空间布局等数据；2.算法开发：构建商品陈列优化算法和热力图分析模型；3.仿真验证：通过虚拟店铺模型进行陈列方案仿真；4.试点应用：在部分门店进行陈列优化试点；5.效果评估：分析试点效果并全面推广,"企业名称：企业37（服务日药本舖）
应用技术：3D建模、AI影像辨识系统、Beacon微定位技术
投资金额：未公开
目标：动态调整货架陈列，提升高毛利商品曝光率，减少人工操作。
降本/增效/提质：自动更新货架标签，降低店员劳务成本；结合POS系统实时优化陈列，促进高毛利商品销售。
来源网址：[已脱敏链接]"
58,,药品库存智能管理,合作开发,2026Q2-2026Q4,8,零售,店铺库存数据实时同步，销售预测模型建立,智能管理店铺药品库存，自动生成补货决策建议。减少积压和缺货，库存周转率提升30%,机器学习、需求预测,小模型,店铺库存数据、销售数据、季节性数据,可行性高：库存数据相对完整,零售业务部门,1.数据整合：对接POS系统、ERP系统、供应链系统数据；2.算法设计：开发库存预测模型和补货优化算法；3.系统开发：构建智能库存管理平台和预警系统；4.试点验证：选择部分商品品类进行试点应用；5.全面推广：优化完善后推广至全品类管理,"企业名称：企业22
应用技术：自动化立体仓库、智能调度算法、温湿度传感器
投资金额：未公开
目标：实现药品库存实时监控，降低缺货与积压风险。
降本/增效/提质：库存误差率仅为十万分之一，冷链药品全程温度可追溯，物流成本降低30%以上。
来源网址：[已脱敏链接]"
59,,客户流失智能预警,合作开发,2026Q3-2026Q4,11,零售,客户行为数据采集，流失预测模型建立,提前识别潜在流失客户，实施针对性留存措施，客户留存率提升25%,机器学习、流失预测模型,小模型,客户消费数据、行为数据、交互数据,可行性高：流失预测模型相对成熟,零售业务部门,1.特征工程：构建客户流失预警特征体系；2.模型训练：开发客户流失预测模型和风险评估算法；3.系统实现：构建客户流失预警平台和干预管理系统；4.策略制定：设计客户挽留策略和个性化方案；5.效果跟踪：对挽留效果进行持续跟踪和优化,"鱼汛AI销冠系统（服务商：鱼塘软件）
✅ AI客户分析：深度挖掘客户数据，精准锁定高价值客户。
✅ 销售沟通全流程管控：实时记录分析和留存沟通轨迹，违规行为即时预警。
系统能帮助销售有针对性地跟进客户，提升转化。其防飞单功能使一家中型药业公司的月度飞单率从15%降至1%以下，间接保护了客户资源，季度业绩同比增长12%。
[已脱敏链接]"
60,,店铺选址智能分析,合作开发,2028Q2-2028Q3,11,零售,市场数据采集，人口数据整合，选址模型建立,智能分析和推荐最优店铺地址，提高店铺成功率和盈利能力,机器学习、地理信息系统,小模型,人口数据、竞争对手数据、地理数据,可行性中：需要外部数据整合,零售业务部门、战略与证券事务部,1.数据收集：整合人口数据、消费数据、竞争数据、交通数据等；2.模型构建：开发门店选址评估模型和收益预测算法；3.可视化分析：构建选址决策支持系统和可视化平台；4.方案评估：对不同选址方案进行综合评估和比较；5.实施跟踪：对新开门店的运营效果进行持续跟踪,"企业名称：企业38（数说故事Datastory）
应用技术：地理信息系统（GIS）、AI选址模型、“人-货-场”大数据分析
投资金额：未公开
目标：优化门店布局，提升新开门店成功率。
降本/增效/提质：通过智能算法识别潜力网点，支持全国2800+区县的“人-货-场”精准匹配，已服务医药零售等行业。
来源网址：[已脱敏链接]"
61,,营销内容创作智能系统,合作开发,2026Q2-2027Q2,11,零售,营销内容模板库建设，创作工具部署，品牌规范数据化,自动生成营销文案、海报等内容，提高创作效率和质量,NLP、图像生成、模板引擎,大模型,营销材料数据、品牌规范、历史内容,可行性高：内容生成技术相对成熟,零售业务部门、市场部,1.内容体系梳理：建立营销内容分类体系和创作规范；2.模型训练：开发基于NLP的内容生成模型和优化算法；3.系统开发：构建智能内容创作平台和管理系统；4.多渠道适配：实现内容的多渠道自动适配和发布；5.效果分析：对内容效果进行数据分析和优化迭代,"企业名称：企业39
应用技术：ChatGPT、医疗领域知识库
投资金额：未公开
目标：提升医疗营销内容创作效率，解决用语重复问题。
降本/增效/提质：每月节省54小时工时，年度ROI达428.6%；营销人员可专注于策略性工作，内容创意性显著提升。
来源网址：[已脱敏链接]"
62,,药品舆情智能监测,合作开发,2026Q2-2026Q4,11,零售,舆情数据源整合，舆情分析模型建立，预警机制完善,实时监测药品相关舆情，及时发现市场机会和风险,NLP、情感分析、网络爬虫,大模型,社交媒体数据、新闻数据、论坛数据,可行性高：舆情监测技术相对成熟,零售业务部门、市场部,1.数据源整合：对接社交媒体、新闻媒体、电商平台等多渠道数据源；2.NLP模型开发：构建医药领域舆情分析和情感识别模型；3.监测系统：开发药品舆情实时监测平台和预警系统；4.分析报告：自动生成舆情分析报告和应对建议；5.危机管理：建立舆情危机响应机制和处理流程,"企业名称：企业40
应用技术：分布式数据采集、自然语言处理、AIGC自动生成报告
投资金额：未公开
目标：实现药品网络舆情全域监测，提升监管效能。
降本/增效/提质：覆盖B2C、B2B、O2O、短视频等多平台数据，违规线索处置效率提升30%以上；AI生成报告准确率达92%，减少人工分析工作量。
来源网址：[已脱敏链接]"
63,,智能价格策略系统,合作开发,2028Q1-2028Q4,11,零售,竞争对手价格数据采集，价格弹性分析模型建立,智能制定商品定价策略，优化价格竞争力和利润空间,机器学习、价格优化模型,小模型,竞争对手价格数据、销售数据、成本数据,可行性中：需要竞争对手数据,零售业务部门,1.数据收集：整合成本数据、竞品价格、销售数据、促销效果等；2.算法开发：构建动态定价模型和价格弹性分析算法；3.策略引擎：开发价格策略管理引擎和规则配置系统；4.系统集成：与ERP、POS系统对接实现价格自动调整；5.效果评估：建立价格策略效果评估体系和优化机制,"企业名称：企业34（服务某医药国企）
应用技术：机器学习算法、市场价格波动分析
投资金额：未公开
目标：优化药品定价策略，提升市场竞争力。
降本/增效/提质：订单处理效率提高30%，库存积压率降低20%；个性化推荐使相关商品销量提升20%以上。
来源网址：[已脱敏链接]"
64,,客户健康管理智能系统,合作开发,2027Q3-2028Q3,14,零售,客户健康数据采集权限获取，健康管理知识库建设,提供个性化健康管理和用药指导服务，提供慢病风险预测，提升客户粘性和满意度,机器学习、健康管理系统,大模型,客户健康数据、用药数据、健康知识库,可行性中：需要健康数据权限和隐私保护,零售业务部门、医疗器械中心,1.健康数据整合：收集客户健康档案、用药记录、生活习惯等数据；2.模型构建：开发健康风险评估模型和个性化健康建议算法；3.系统开发：构建客户健康管理平台和移动应用；4.服务设计：设计健康干预方案和个性化服务流程；5.运营体系：建立健康管理服务运营和评估体系,"企业名称：企业35
应用技术：医疗大模型、用户健康档案分析、个性化干预方案
目标：提供全生命周期健康管理服务，增强用户粘性。
降本/增效/提质：整合体检、慢性病管理、营养咨询等模块，形成闭环服务；AI心理陪伴师“聊愈小宇宙”通过垂类大模型提供情感支持，推动心理健康服务规范化。
来源网址：[已脱敏链接]
[已脱敏链接]"
65,,智能销售预测系统（零售）,合作开发,2027Q2-2028Q2,11,零售,历史销售数据完整，外部影响因子数据采集,精准预测商品销售趋势，优化库存和采购计划,时间序列分析、机器学习,小模型,历史销售数据、季节性数据、市场数据,可行性高：销售数据相对完整,零售业务部门,1.数据准备：整合历史销售数据、促销数据、季节性因素、市场趋势等；2.模型训练：开发时间序列预测模型和机器学习预测算法；3.系统实现：构建销售预测平台和可视化分析系统；4.库存联动：与库存管理系统对接实现智能补货；5.动态调整：建立预测模型动态优化机制,"企业名称：企业35
应用技术：大数据分析、销售趋势建模、动态库存优化
目标：提升库存周转率，降低缺货风险。
降本/增效/提质：通过实时监控销售数据，优化备货策略；在抗疫药品保供中，实现一亿盒药品储备的精准调度，保障“不断供、不涨价”。
来源网址：[已脱敏链接]
[已脱敏链接]"
66,,店铺效率智能分析,合作开发,2027Q2-2027Q3,8,零售,店铺运营数据标准化，效率评估指标体系建立,全面分析店铺运营效率，识别改进机会和优化方向,数据分析、效率评估模型,小模型,店铺运营数据、成本数据、效率指标,可行性高：效率指标相对明确,零售业务部门,1.指标体系构建：建立店铺效率评估指标体系；2.数据采集：整合销售数据、客流量、人效、坪效等多维度数据；3.分析模型：开发效率分析模型和优化建议算法；4.可视化平台：构建店铺效率分析仪表板；5.改进机制：建立效率改进跟踪和评估机制,"企业名称：企业41
应用技术：视频点检平台、BI系统、智能排班算法
投资金额：未公开
目标：优化门店运营效率，降低巡检成本。
降本/增效/提质：门店巡检成本降低52%，人效提升33%；通过热力图分析识别30%无效停留顾客，动态调整陈列布局。
来源网址：http://m.163.com/dy/article/KBUCH6VG05568W0A.html"
67,,智能促销活动系统,合作开发,2027Q2-2028Q2,11,零售,促销活动数据历史积累，效果评估模型建立,智能设计和执行促销活动，提高活动效果和投入产出比,机器学习、促销优化模型,大模型+小模型,促销活动数据、销售数据、成本数据,可行性高：促销数据相对完整,零售业务部门,1.需求分析：分析促销活动目标和关键指标；2.策略引擎：开发促销策略生成引擎和规则配置系统；3.效果预测：构建促销效果预测模型和ROI分析算法；4.执行管理：开发促销活动管理平台和执行监控系统；5.评估优化：建立促销效果评估和持续优化机制,"企业名称：企业42
应用技术：AI智能投流、场景化短视频生成
投资金额：未公开
目标：提升促销活动转化率，拓展新客群。
降本/增效/提质：抖音渠道新客占比65%，带动O2O平台销量提升22%，电商平台销量提升71%；活动期间品牌曝光量增长200%。
来源网址：http://m.163.com/news/article/KBUCH6VG05568W0A.html"
68,,客户满意度智能分析,合作开发,2027Q1-2027Q2,8,零售,客户反馈数据采集，满意度评估模型建立,智能分析客户满意度，及时发现和解决服务问题,情感分析、NLP、数据分析,大模型,客户反馈数据、评价数据、服务数据,可行性高：满意度分析技术成熟,零售业务部门、客户服务部,1.评价体系构建：建立客户满意度评价指标体系；2.数据采集：整合客户反馈、NPS评分、投诉数据、交易数据等；3.分析模型：开发满意度分析模型和影响因素识别算法；4.可视化平台：构建客户满意度分析仪表板；5.改进机制：建立满意度改进跟踪和闭环管理,"企业名称：企业43
应用技术：AI大模型、智能客服系统
投资金额：未公开
目标：提升客服响应效率，增强用户体验。
降本/增效/提质：人机协同处理咨询，客服响应时间缩短至20-90秒；客户满意度调查中“服务专业性”评分提升15%。
来源网址：http://m.163.com/dy/article/KBUCH6VG05568W0A.html"
69,,智能补货提醒系统,合作开发,2027Q1-2028Q1,5,零售,库存数据实时同步，补货规则数据化,自动监控库存水平，智能提醒补货，减少缺货情况,规则引擎、自动化提醒,小模型,库存数据、销售数据、补货规则,可行性高：补货逻辑相对简单,零售业务部门,1.数据整合：对接销售数据、库存数据、供应链数据；2.算法开发：构建智能补货预测模型和库存优化算法；3.提醒系统：开发补货提醒引擎和任务管理系统；4.系统集成：与WMS、ERP系统对接实现数据互通；5.效果评估：建立补货准确率和库存周转率评估体系,"企业名称：企业44（服务某连锁药店）
应用技术：动态库存预警、智能补货算法
投资金额：未公开
目标：降低库存积压与缺货风险。
降本/增效/提质：库存周转率提升35%，滞销品占比从30%降至15%；药品过期损耗率降低25%，库存周期缩短30%。
来源网址：[已脱敏链接]"
70,,DTP药房用药指导助手,合作开发,2026Q2-2026Q4,11,零售,完成DTP药房现有用药数据梳理与整合，确定合作定制方并签订合作协议，组建包含临床药师、AI技术人员的项目团队。,提升DTP药房专业服务能力，增强患者用药依从性与满意度，减少用药风险，吸引更多患者选择，进而促进药房药品销售增长。,NLP、知识图谱构建、个性化推荐算法,大模型,需收集DTP药房现有患者基本信息、用药历史记录、药品说明书、临床用药指南、药物相互作用数据等。数据来源包括DTP药房内部数据库、合作医疗机构的共享病例资料、权威医药数据库（如药智网、PubMed等）以及公开的临床研究文献。,可行性高：数据层面，DTP药房已有内部数据积累，且可通过合作医疗机构及权威医药数据库补充所需信息，数据来源明确；技术层面，NLP、知识图谱构建等相关AI技术已较为成熟，合作定制方式可借助外部技术力量保障实现；业务层面，目标用户对专业用药指导需求迫切，相关业务板块为零售，项目收益能直接促进药房销售增长，符合业务发展方向；团队组建条件清晰，包含临床药师和AI技术人员的团队可确保项目专业落地。综合来看，项目在数据、技术、业务及团队等关键要素上均具备实施基础。,零售业务部门,1.知识库构建：建立DTP药房专业知识库和用药指导规范；2.NLP模型训练：开发医药专业问答模型和处方解析算法；3.系统开发：构建用药指导助手和患者管理平台；4.服务流程：设计AI辅助的用药指导服务流程；5.效果评估：建立用药指导效果评估和患者满意度调查机制,"企业名称：企业45
应用技术：AI大模型、医药知识库、医保政策解析系统
投资金额：未公开
目标：提升DTP药师服务效率，优化患者用药体验。
降本/增效/提质：药师回答医保政策问题效率提升80%，患者咨询等待时间缩短至5分钟内；覆盖15个城市，患者满意度达92%。
来源网址：http://m.163.com/dy/article/KBEE16R30534Q32Z.html"
71,,订单录入流程自动化,采购现有解决方案,2027Q1-2028Q1,5,零售,完成零售订单系统数据接口对接，获取历史订单样本数据5000条以上，确定合作定制开发的技术服务商并签订合同。,自动核对订单编码与货品、数量信息，自动录入ERP系统,NLP、OCR、机器学习模型训练与优化,大模型+小模型,"历史订单样本数据（5000条以上），零售订单系统数据接口对接获取的订单相关数据（含订单编码、货品、数量等信息）
",可行性高：技术层面，项目涉及的NLP、OCR及机器学习模型训练与优化等AI技术已相对成熟，具备实施基础；数据层面，通过与零售订单系统数据接口对接可获取5000条以上历史订单样本数据，满足数据需求；合作定制开发的实施方式，能借助技术服务商的专业能力保障项目推进。整体来看，在完成数据接口对接、获取足够样本数据并确定技术服务商后，项目具备较高可行性。,零售业务部门,1.流程梳理：分析现有订单录入流程和痛点；2.OCR识别：开发订单信息自动识别和提取模型；3.RPA开发：构建机器人流程自动化解决方案；4.系统集成：与ERP系统对接实现数据自动录入；5.质量控制：建立订单信息验证机制和异常处理流程,"企业名称：企业34（服务某连锁药店）
应用技术：RPA机器人、OCR识别、结构化数据提取
投资金额：未公开
目标：减少人工录入错误，提升订单处理效率。
降本/增效/提质：采购订单处理时间从2天缩短至3小时，数据准确率从85%提升至99.7%；人工处理成本降低60%，年节省约120万元。
来源网址：[已脱敏链接]"
72,,智能退货管理系统,合作开发,2027Q2-2028Q2,8,零售,退货流程标准化，退货原因分类体系建立,智能处理客户退货申请，提高处理效率和客户满意度,流程自动化、规则引擎,小模型,退货申请数据、退货原因数据,可行性高：退货流程相对标准,零售业务部门、客户服务部,1.规则引擎：构建退货规则库和处理流程；2.智能审核：开发退货原因分析和自动审核模型；3.系统开发：构建智能退货管理平台；4.集成对接：与ERP、WMS系统对接实现数据互通；5.优化机制：建立退货数据分析和流程优化机制,"企业名称：企业11
应用技术：AI图像识别、退货原因分析模型、自动审批系统
投资金额：未公开
目标：优化退货流程，降低人为干预成本。
降本/增效/提质：退货审核效率提升40%，错误率从15%降至3%；通过智能分类滞销药品，库存周转率提升25%。
来源网址：[已脱敏链接]
[已脱敏链接]"
73,,智能财务票据处理系统,采购现有解决方案,2027Q2-2028Q2,8,运营管理,票据电子化程度达90%，OCR技术成熟，财务流程标准化,CV大模型实现发票验真、税额计算、凭证生成全流程自动化，提高财务处理效率，人工成本降低60%,OCR、RPA、机器学习,小模型,票据图像数据、财务规则数据,可行性高：OCR技术相对成熟,财务管理部,1.OCR识别：开发财务票据识别和信息提取模型；2.NLP处理：构建票据内容理解和分类算法；3.规则引擎：建立票据审核规则和异常检测机制；4.系统开发：构建智能票据处理平台；5.集成应用：与财务系统对接实现自动化处理,"企业名称：企业46（服务某连锁药店）
应用技术：OCR识别、智能校验规则、电子发票全流程管理
投资金额：未公开
目标：提升发票处理效率，降低税务风险。
降本/增效/提质：单张发票处理时间从5分钟缩短至30秒，作废率从12%降至0.3%；年节省打印成本超12万元，税务稽查风险降低90%。
来源网址：[已脱敏链接]"
74,,合同风险智能审核,采购现有解决方案,2026Q4-2027Q2,8,运营管理,合同数据电子化，法务知识库建设，风险评估模型建立,自动识别合同条款风险，提供风险评估和建议，降低法务风险,NLP、知识图谱、风险评估模型,大模型,合同数据、法务条款库、风险案例数据,可行性高：合同条款相对结构化,法务部门、审计内控部,1.知识库构建：建立合同风险知识库和条款库；2.NLP模型：开发合同文本分析和风险识别算法；3.规则引擎：构建风险评估规则和预警机制；4.系统开发：构建合同智能审核平台；5.流程优化：设计人机协同的合同审核流程,"企业名称：企业1（服务某医药国企）
应用技术：NLP文本分析、GSP合规规则库、智能预警系统
投资金额：未公开
目标：降低合同条款缺陷率，提升合规性。
降本/增效/提质：合同审核效率提升50%，GSP合规缺陷率从38%降至0；通过智能校验冷链运输条款，减少药品损耗超200万元/年。
来源网址：[已脱敏链接]"
75,,智能报表生成系统（ChatBI）,采购现有解决方案,2027Q1-2028Q1,8,运营管理,数据仓库建设完成，报表模板标准化，BI平台部署,自动生成各类管理报表，提高报表生成效率和准确性,BI分析、数据可视化、自动化,小模型,业务数据、财务数据、报表模板,可行性高：报表生成技术成熟,财务管理部、各业务部门,1.数据模型：构建企业数据模型和语义理解体系；2.NLP开发：开发自然语言查询和数据理解模型；3.可视化引擎：构建动态报表生成和可视化展示系统；4.系统集成：与数据仓库和业务系统对接；5.用户培训：提供自然语言查询使用培训,"企业名称：企业44（服务某连锁药店）
应用技术：大语言模型、自然语言查询、可视化分析
投资金额：未公开
目标：降低数据分析门槛，提升决策效率。
降本/增效/提质：业务人员自主取数效率提升80%，报表生成时间从2小时缩短至10分钟；区域经理决策效率提升65%。
来源网址：[已脱敏链接]
[已脱敏链接]"
76,,智能招聘助手,合作开发,2027Q2-2028Q2,8,运营管理,人事数据整合，HR系统升级，智能化模块开发,参考目前公司内部类似岗位员工资料，自动生成对应招聘岗位JD,机器学习、NLP、数据分析,大模型+小模型,员工数据、绩效数据、招聘数据,可行性高：HR数据相对完整,人力资源部,1.需求分析：构建岗位需求模型和人才画像；2.筛选算法：开发简历自动筛选和匹配算法；3.面试辅助：构建智能面试问题生成和评估系统；4.系统开发：构建智能招聘管理平台；5.效果评估：建立招聘效果分析和优化机制,"企业名称：企业41
应用技术：简历解析、智能匹配算法、面试调度系统
投资金额：未公开
目标：提升招聘效率，精准筛选人才。
降本/增效/提质：简历处理效率提升3倍，面试周期从7天缩短至3天；通过AI分析候选人行为数据，新员工留存率提升15%。
来源网址：[已脱敏链接]
[已脱敏链接]"
77,,穿透式智能审计助手,采购现有解决方案,2027Q2-2027Q4,11,运营管理,审计数据整合，审计规则数据化，异常检测模型建立；构建企业全量业务-财务映射关系,自动识别账实不符、科目错配等深层问题，自动化审计流程，智能发现异常和风险，审计效率提升70%,数据挖掘、异常检测、机器学习,小模型,财务数据、业务数据、审计规则,可行性中：需要复杂的异常检测算法,审计内控部,1.风险模型：构建审计风险模型和异常检测指标；2.数据分析：开发穿透式数据分析和关联挖掘算法；3.可视化平台：构建审计分析仪表板和证据管理系统；4.流程设计：设计智能审计工作流程；5.结果应用：建立审计发现整改跟踪机制,"企业名称：企业6
应用技术：区块链、AI异常检测、全流程追溯系统
投资金额：未公开
目标：提升审计效率，防范财务风险。
降本/增效/提质：审计数据核查时间缩短60%，异常交易识别准确率达98%；通过智能监控冷链运输数据，减少药品质量风险事件超50%。
来源网址：[已脱敏链接]
[已脱敏链接]"
78,,智能决策支持助手（批发+零售）,合作开发,2027Q4-2028Q2,14,运营管理,数据仓库完善，决策模型建立，管理驾驶舱建设,为管理层提供智能化决策支持，提高决策质量和效率,机器学习、数据分析、决策模型,小模型,全业务数据、市场数据、外部数据,可行性中：需要复杂的决策模型,战略与证券事务部、管理层,1.决策模型：构建业务决策模型和指标体系；2.数据整合：整合各业务系统数据和外部市场数据；3.分析引擎：开发多维度分析和预测算法；4.可视化平台：构建决策支持仪表板和情景分析系统；5.应用推广：建立决策支持应用场景和使用规范,"企业名称：企业44（服务某医药流通企业）
应用技术：机器学习预测模型、动态库存优化算法
投资金额：未公开
目标：优化库存结构，提升供应链响应速度。
降本/增效/提质：缺货率下降47%，库存周转率提升35%；通过智能预测促销需求，销售额增长22%。
来源网址：[已脱敏链接]
[已脱敏链接]"
79,,综合风险管理平台,采购现有解决方案,2027Q4-2028Q4,14,运营管理,风险数据整合，风险评估模型建立，预警机制完善,全面监控和管理企业风险，提前预警和应对,风险评估模型、机器学习,小模型,业务风险数据、财务风险数据、外部风险数据,可行性中：需要全面的风险数据整合,审计内控部、风险管理部,1.风险地图：构建企业风险地图和评估体系；2.监测模型：开发风险监测指标和预警算法；3.分析引擎：构建风险分析和影响评估系统；4.可视化平台：开发风险管理仪表板和报告系统；5.应对机制：建立风险应对策略库和处理流程,"企业名称：企业47（服务某跨国药企）
应用技术：AI风险评估模型、实时监控系统、合规流程自动化
投资金额：未公开
目标：提升风险管理能力，降低合规成本。
降本/增效/提质：风险事件响应时间缩短70%，合规成本降低30%；通过智能预警系统，减少药品召回损失超500万元/年。
来源网址：[已脱敏链接]"
80,,智能成本收益分析,合作开发,2026Q3-2026Q4,8,运营管理,成本数据标准化，成本分析模型建立,智能分析和控制成本，评估项目收益，优化成本结构，预计每年降本500万元,数据分析、成本建模,小模型,成本数据、业务数据、预算数据,可行性高：成本数据相对完整,财务管理部、各业务部门,1.成本模型：构建成本结构模型和收益分析框架；2.数据整合：收集财务数据、运营数据、市场数据；3.算法开发：开发成本分析和收益预测算法；4.可视化平台：构建成本收益分析仪表板；5.决策支持：提供成本优化建议和投资决策支持,"企业名称：企业39
应用技术：成本预测模型、收益优化算法、动态定价系统
投资金额：未公开
目标：优化定价策略，提升盈利能力。
降本/增效/提质：采购成本降低18%，利润率提升5个百分点；通过智能分析促销活动ROI，营销费用利用率提高40%。
来源网址：[已脱敏链接]"
81,,立项智能法务助手,合作开发,2026Q3-2027Q1,8,运营管理,完成法务数据接口对接、获取运营管理部合同样本及相关案例数据、确定合作定制开发厂商,项目初筛阶段解析合同条款（股权结构、业绩承诺、违约责任），提示潜在法律风险（如“股权质押未披露”“业绩承诺无法兑现风险”），提供行业法律法规速查与类似并购案例参考,NLP（合同条款解析、法律风险识别）、知识图谱（行业法律法规速查、类似并购案例参考）,大模型,合同样本、历史并购案例数据；法务部门的法律法规数据库及相关法律文书；通过合作定制开发厂商对接的外部行业法律案例库和法规更新数据源。,可行性高：技术层面，NLP技术可实现合同条款解析与法律风险识别，知识图谱技术能支撑法律法规速查及案例参考，相关技术成熟度较高。数据层面，已明确合同样本、历史案例、法务部门数据库及外部行业案例库等数据来源，可满足项目数据需求。实施方式采用合作定制，能借助厂商专业能力加速开发。目标用户运营管理部存在实际业务需求，项目收益显著，可在初筛阶段有效辅助合同审查，提示风险并提供参考。,运营管理部,1.知识库构建：建立立项法规库和风险案例库；2.NLP模型：开发立项文档分析和合规性检查算法；3.智能审查：构建立项材料自动审查和风险提示系统；4.流程设计：设计智能法务审查工作流程；5.效果评估：建立审查效率和质量评估机制,"企业名称：企业48（服务某医药流通企业）
应用技术：NLP文本分析、法律法规知识图谱、电子签章直连技术
投资金额：未公开
目标：提升合同审核效率，降低合规风险。
降本/增效/提质：合同审核周期从5天缩短至1天，条款缺陷率从38%降至0；新增粤港澳大湾区政策库后，区域合规性响应速度提升70%。
来源网址：[已脱敏链接]"
